"position","isCandidate","isCandidateDelete","nbTrial","nbCompile","nbSosie","nbTest","nbAssert","maxDeep","meanDeep","medianDeep","minDeep","methodNameInTests","methodClassTargetByTests","nbDiff","nbStaticDiff"
"org.apache.commons.codec.net.QCodec:287","false","false",1,0,0,1,3,1,1,1,1,1,1,0,0
"org.apache.commons.codec.net.QCodec:289","true","false",3,0,0,1,3,1,1,1,1,1,1,0,0
"org.apache.commons.codec.net.QCodec:291","true","true",3,1,0,1,3,1,1,1,1,1,1,0,0
"org.apache.commons.codec.net.QCodec:288","true","true",8,1,0,1,3,1,1,1,1,1,1,0,0
"org.apache.commons.codec.net.QCodec:286","true","true",15,2,0,1,3,1,1,1,1,1,1,0,0
"org.apache.commons.codec.net.QCodec:266","true","false",4,3,0,2,3,1,1,1,1,1,1,0,0
"org.apache.commons.codec.net.QCodec:265","true","true",5,4,1,2,3,1,1,1,1,1,1,0,0
"org.apache.commons.codec.net.QCodec:269","true","false",1,0,0,7,18,2,1.5,2,1,0.857142857142857,1,0,0
"org.apache.commons.codec.net.QCodec:268","true","true",2,0,0,7,18,2,1.5,2,1,0.857142857142857,1,0,0
"org.apache.commons.codec.net.QCodec:248","true","false",1,1,0,1,2,1,1,1,1,1,1,0,0
"org.apache.commons.codec.net.QCodec:247","true","true",6,6,3,1,2,1,1,1,1,1,1,0,0
"org.apache.commons.codec.net.QCodec:250","true","false",7,3,0,6,17,2,1.5,2,1,0.833333333333333,1,0,0
"org.apache.commons.codec.net.QCodec:227","true","false",2,2,1,1,1,1,1,1,1,1,1,1,0
"org.apache.commons.codec.net.QCodec:226","true","true",6,6,3,1,1,1,1,1,1,1,1,2,0
"org.apache.commons.codec.net.QCodec:230","true","false",0,0,0,1,1,1,1,1,1,1,1,0,0
"org.apache.commons.codec.net.QCodec:229","true","true",0,0,0,1,1,1,1,1,1,1,1,0,0
"org.apache.commons.codec.net.QCodec:211","true","false",3,1,0,5,15,3,2.5,3,2,0.8,1,0,0
"org.apache.commons.codec.net.QCodec:149","true","false",2,2,0,6,18,5,4,4,3,0,1,0,0
"org.apache.commons.codec.net.QCodec:328","true","false",1,1,1,5,15,3,2.5,3,2,0,1,0,0
"org.apache.commons.codec.net.QCodec:356","true","true",1,0,0,2,6,1,1,1,1,0,1,0,0
"org.apache.commons.codec.net.QuotedPrintableCodec:238","true","false",5,2,0,5,11,5,5,5,5,0,1,0,0
