"position","isCandidate","isCandidateDelete","nbTrial","nbCompile","nbSosie","nbTest","nbAssert","maxDeep","meanDeep","medianDeep","minDeep","methodNameInTests","methodClassTargetByTests","nbDiff","nbStaticDiff"
"org.apache.commons.io.monitor.FileAlterationObserver:458","true","true",12,12,0,1,3,1,1,1,1,1,0,0,0
"org.apache.commons.io.monitor.FileAlterationObserver:459","true","true",13,13,0,1,3,1,1,1,1,1,0,0,0
"org.apache.commons.io.monitor.FileAlterationObserver:460","true","true",13,13,1,1,3,1,1,1,1,1,0,0,0
"org.apache.commons.io.monitor.FileAlterationObserver:461","true","false",7,3,0,1,3,1,1,1,1,1,0,0,0
"org.apache.commons.io.monitor.FileAlterationObserver:358","false","false",0,0,0,5,82,4,3.5,4,3,0,0,0,0
"org.apache.commons.io.monitor.FileAlterationObserver:359","true","true",6,6,1,5,82,4,3.5,4,3,0,0,0,0
"org.apache.commons.io.monitor.FileAlterationObserver:360","true","false",2,0,0,5,82,4,3.5,4,3,0,0,0,0
"org.apache.commons.io.monitor.FileAlterationObserver:361","false","false",0,0,0,5,82,4,3.5,4,3,0,0,0,0
"org.apache.commons.io.monitor.FileAlterationObserver:363","true","true",3,3,0,4,65,3,3,3,3,0,0,0,0
"org.apache.commons.io.monitor.FileAlterationObserver:362","true","true",14,6,1,4,65,3,3,3,3,0,0,0,0
"org.apache.commons.io.monitor.FileAlterationObserver:365","true","true",5,2,0,5,82,4,3.5,4,3,0,0,0,0
"org.apache.commons.io.monitor.FileAlterationObserver:366","false","false",0,0,0,5,82,4,3.5,4,3,0,0,0,0
"org.apache.commons.io.monitor.FileAlterationObserver:243","true","true",2,1,0,0,0,1,1,1,1,NA,NA,0,0
"org.apache.commons.io.monitor.FileAlterationObserver:242","true","true",13,7,0,0,0,1,1,1,1,NA,NA,0,0
"org.apache.commons.io.monitor.FileAlterationObserver:298","true","true",8,7,2,5,82,2,1.5,2,1,0,0,0,0
"org.apache.commons.io.monitor.FileAlterationObserver:297","true","true",15,11,4,5,82,2,1.5,2,1,0,0,0,0
"org.apache.commons.io.monitor.FileAlterationObserver:302","true","false",2,0,0,5,82,2,1.5,2,1,0,0,0,0
"org.apache.commons.io.monitor.FileAlterationObserver:304","true","true",8,3,0,5,82,2,1.5,2,1,0,0,0,0
"org.apache.commons.io.monitor.FileAlterationObserver:306","true","true",9,4,0,1,17,1,1,1,1,0,0,0,0
"org.apache.commons.io.monitor.FileAlterationObserver:305","true","true",20,11,1,1,17,1,1,1,1,0,0,0,0
"org.apache.commons.io.monitor.FileAlterationObserver:303","true","true",40,16,1,5,82,2,1.5,2,1,0,0,0,0
"org.apache.commons.io.monitor.FileAlterationObserver:313","true","true",7,6,4,5,82,2,1.5,2,1,0,0,0,0
"org.apache.commons.io.monitor.FileAlterationObserver:312","true","true",15,12,6,5,82,2,1.5,2,1,0,0,0,0
"org.apache.commons.io.monitor.FileAlterationObserver:325","true","false",2,0,0,5,82,4,3,3,2,0,0,0,0
"org.apache.commons.io.monitor.FileAlterationObserver:326","false","false",0,0,0,5,82,4,3,3,2,0,0,0,0
"org.apache.commons.io.monitor.FileAlterationObserver:329","true","true",3,3,0,1,17,3,3,3,3,0,0,0,0
"org.apache.commons.io.monitor.FileAlterationObserver:330","true","true",14,9,1,1,17,3,3,3,3,0,0,0,0
"org.apache.commons.io.monitor.FileAlterationObserver:328","true","true",29,15,1,1,17,3,3,3,3,0,0,0,0
"org.apache.commons.io.monitor.FileAlterationObserver:334","true","true",14,9,2,5,82,3,2.5,3,2,0,0,0,0
"org.apache.commons.io.monitor.FileAlterationObserver:335","true","true",9,4,0,5,82,3,2.5,3,2,0,0,0,0
"org.apache.commons.io.monitor.FileAlterationObserver:336","true","true",1,1,0,5,82,3,2.5,3,2,0,0,0,0
"org.apache.commons.io.monitor.FileAlterationObserver:337","true","true",14,14,2,5,82,3,2.5,3,2,0,0,0,0
"org.apache.commons.io.monitor.FileAlterationObserver:339","true","true",12,8,1,3,51,3,2.5,3,2,0,0,0,0
"org.apache.commons.io.monitor.FileAlterationObserver:340","true","true",8,5,0,3,51,3,2.5,3,2,0,0,0,0
"org.apache.commons.io.monitor.FileAlterationObserver:333","true","true",70,46,5,5,82,3,2.5,3,2,0,0,0,0
"org.apache.commons.io.monitor.FileAlterationObserver:327","true","true",110,66,6,5,82,3,2.5,3,2,0,0,0,0
"org.apache.commons.io.monitor.FileAlterationObserver:344","true","true",3,3,0,5,82,3,2.5,3,2,0,0,0,0
"org.apache.commons.io.monitor.FileAlterationObserver:345","true","true",15,9,0,5,82,3,2.5,3,2,0,0,0,0
"org.apache.commons.io.monitor.FileAlterationObserver:343","true","true",30,18,1,5,82,3,2.5,3,2,0,0,0,0
"org.apache.commons.io.monitor.FileAlterationObserver:347","true","true",6,2,0,5,82,4,3,3,2,0,0,0,0
"org.apache.commons.io.monitor.FileAlterationObserver:377","true","true",9,8,1,4,65,3,3,3,3,0,0,0,0
"org.apache.commons.io.monitor.FileAlterationObserver:379","true","true",10,9,1,5,82,4,3.5,4,3,0,0,0,0
"org.apache.commons.io.monitor.FileAlterationObserver:376","true","true",32,28,2,5,82,4,3.5,4,3,0,0,0,0
"org.apache.commons.io.monitor.FileAlterationObserver:375","true","true",42,35,3,5,82,4,3.5,4,3,0,0,0,0
"org.apache.commons.io.monitor.FileAlterationObserver:382","false","false",0,0,0,5,82,4,3.5,4,3,0,0,0,0
"org.apache.commons.io.monitor.FileAlterationObserver:384","true","true",7,5,0,4,65,3,3,3,3,0,0,0,0
