"position","isCandidate","isCandidateDelete","nbTrial","nbCompile","nbSosie","nbTest","nbAssert","maxDeep","meanDeep","medianDeep","minDeep","methodNameInTests","methodClassTargetByTests","nbDiff","nbStaticDiff"
"org.eclipse.jgit.blame.BlameGenerator:488","true","false",2,2,1,21,110,4,2.66666666666667,3,1,0,0,0,0
"org.eclipse.jgit.blame.BlameGenerator:487","true","true",7,7,3,21,110,4,2.66666666666667,3,1,0,0,0,0
"org.eclipse.jgit.blame.BlameGenerator:491","true","false",1,0,0,21,110,4,2.66666666666667,3,1,0,0,0,0
"org.eclipse.jgit.blame.BlameGenerator:492","true","true",0,0,0,21,110,4,2.66666666666667,3,1,0,0,0,0
"org.eclipse.jgit.blame.BlameGenerator:495","true","false",5,1,0,21,110,4,2.66666666666667,3,1,0,0,0,0
"org.eclipse.jgit.blame.BlameGenerator:498","true","false",3,2,1,13,94,4,2.66666666666667,3,1,0,0,0,0
"org.eclipse.jgit.blame.BlameGenerator:497","true","true",6,5,1,21,110,4,2.66666666666667,3,1,0,0,0,0
"org.eclipse.jgit.blame.BlameGenerator:502","true","false",3,2,1,2,12,4,4,4,4,0,0,0,0
"org.eclipse.jgit.blame.BlameGenerator:501","true","true",5,4,1,3,16,4,4,4,4,0,0,0,0
"org.eclipse.jgit.blame.BlameGenerator:511","true","false",1,1,0,18,97,4,2.66666666666667,3,1,0,0,0,0
"org.eclipse.jgit.blame.BlameGenerator:504","true","true",2,2,0,18,97,4,2.66666666666667,3,1,0,0,0,0
"org.eclipse.jgit.blame.BlameGenerator:500","true","true",9,8,1,18,97,4,2.66666666666667,3,1,0,0,0,0
"org.eclipse.jgit.blame.BlameGenerator:496","true","true",15,13,2,21,110,4,2.66666666666667,3,1,0,0,0,0
"org.eclipse.jgit.blame.BlameGenerator:490","true","true",22,15,2,21,110,4,2.66666666666667,3,1,0,0,0,0
"org.eclipse.jgit.blame.BlameGenerator:673","true","false",3,0,0,3,16,5,5,5,5,0,0,0,0
"org.eclipse.jgit.blame.BlameGenerator:677","true","false",0,0,0,3,16,5,5,5,5,0,0,0,0
"org.eclipse.jgit.blame.BlameGenerator:679","true","false",0,0,0,3,16,5,5,5,5,0,0,0,0
"org.eclipse.jgit.blame.BlameGenerator:680","true","true",3,3,0,3,16,5,5,5,5,0,0,0,0
"org.eclipse.jgit.blame.BlameGenerator:681","true","true",0,0,0,3,16,5,5,5,5,0,0,0,0
"org.eclipse.jgit.blame.BlameGenerator:683","true","true",0,0,0,3,16,5,5,5,5,0,0,0,0
"org.eclipse.jgit.blame.BlameGenerator:686","true","true",2,2,0,3,16,5,5,5,5,0,0,0,0
"org.eclipse.jgit.blame.BlameGenerator:685","true","true",4,4,0,3,16,5,5,5,5,0,0,0,0
"org.eclipse.jgit.blame.BlameGenerator:687","true","true",2,2,0,3,16,5,5,5,5,0,0,0,0
"org.eclipse.jgit.blame.BlameGenerator:678","true","true",14,13,1,3,16,5,5,5,5,0,0,0,0
"org.eclipse.jgit.blame.BlameGenerator:691","false","false",0,0,0,3,16,5,5,5,5,0,0,0,0
"org.eclipse.jgit.blame.BlameGenerator:693","true","true",0,0,0,3,16,5,5,5,5,0,0,0,0
"org.eclipse.jgit.blame.BlameGenerator:695","true","false",1,0,0,3,16,5,5,5,5,0,0,0,0
"org.eclipse.jgit.blame.BlameGenerator:697","true","true",0,0,0,3,16,5,5,5,5,0,0,0,0
"org.eclipse.jgit.blame.BlameGenerator:696","true","true",5,1,1,3,16,5,5,5,5,0,0,0,0
"org.eclipse.jgit.blame.BlameGenerator:699","true","false",0,0,0,3,16,5,5,5,5,0,0,0,0
