uuid;type;name;position;status;diff;graphDiff;branchDiff;variableDiff;exceptionDiff;nbTest;maxDeep;meanDeep;medianDeep;minDeep;staticDiff;nodeTransplantationPoint;nodeTransplant
21c13105-2e92-11e5-8490-014a9b5cb194;adrStmt;replace;org.apache.commons.lang3.builder.EqualsBuilder:406;-1;0;0;0;0;0;32;7;4.666666666666667;4.0;3.0;false;CtIfImpl;CtIfImpl
ebff738e-2c2f-11e5-8ab1-c97f0169ab1e;adrStmt;replace;org.apache.commons.lang3.StringUtils:4175;-1;0;0;0;0;0;14;7;5.0;5.0;3.0;false;CtLocalVariableImpl;CtLocalVariableImpl
8b0f7b70-2e10-11e5-a4b9-694c113af77a;adrStmt;replace;org.apache.commons.lang3.Conversion:665;-1;0;0;0;0;0;1;1;1.0;1.0;1.0;false;CtThrowImpl;CtThrowImpl
14fda0be-2c2b-11e5-b7b2-ffad32633b41;adrStmt;add;org.apache.commons.lang3.text.StrSubstitutor:855;-1;0;0;0;0;0;27;7;5.0;5.0;3.0;false;CtAssignmentImpl;CtAssignmentImpl
fc2825cc-2e0d-11e5-9a15-1157c970039c;adrStmt;delete;org.apache.commons.lang3.exception.ExceptionUtils:258;-2;0;0;0;0;0;13;3;2.0;2.0;1.0;false;CtReturnImpl;NA
51dcdbc3-2c2c-11e5-aeae-213003829cfe;adrStmt;replace;org.apache.commons.lang3.builder.ToStringBuilder:500;-2;0;0;0;0;0;1;1;1.0;1.0;1.0;false;CtInvocationImpl;CtInvocationImpl
f538913e-2c32-11e5-a18a-c5a3ada4149e;adrStmt;add;org.apache.commons.lang3.Conversion:179;-2;0;0;0;0;0;1;1;1.0;1.0;1.0;false;CtReturnImpl;CtReturnImpl
c4c34171-2e06-11e5-8329-6d7ec0da87cd;adrStmt;delete;org.apache.commons.lang3.Validate:990;-1;0;0;0;0;0;1;1;1.0;1.0;1.0;false;CtThrowImpl;NA
4be38f68-2c23-11e5-9ee6-6b327d84acdb;adrStmt;replace;org.apache.commons.lang3.text.ExtendedMessageFormat:293;-1;0;0;0;0;0;1;1;1.0;1.0;1.0;false;CtAssignmentImpl;CtAssignmentImpl
7e30a57d-2e65-11e5-8943-b991d4098ff3;adrStmt;delete;org.apache.commons.lang3.text.StrSubstitutor:358;-1;0;0;0;0;0;0;0;0.0;0.0;0.0;false;CtInvocationImpl;NA
5a124052-2bf7-11e5-b209-a5cd7a7f68e5;adrStmt;replace;org.apache.commons.lang3.StringEscapeUtils:351;-1;0;0;0;0;0;0;0;0.0;0.0;0.0;false;CtInvocationImpl;CtInvocationImpl
59e73ea1-2e4b-11e5-9326-6bc453454ef9;adrStmt;replace;org.apache.commons.lang3.text.WordUtils:540;-2;0;0;0;0;0;1;1;1.0;1.0;1.0;false;CtReturnImpl;CtReturnImpl
75040fad-2e06-11e5-8185-8957e55639ab;adrStmt;replace;org.apache.commons.lang3.ClassUtils:205;-1;0;0;0;0;0;1;2;2.0;2.0;2.0;false;CtInvocationImpl;CtInvocationImpl
0f5feb09-2c2e-11e5-a9e8-9dcba815ccc0;adrStmt;replace;org.apache.commons.lang3.exception.ExceptionUtils:675;-2;0;0;0;0;0;2;2;1.5;2.0;1.0;false;CtLocalVariableImpl;CtLocalVariableImpl
88bf8725-2e2c-11e5-a99d-016cd5496aa0;adrStmt;replace;org.apache.commons.lang3.text.translate.NumericEntityEscaper:110;-1;0;0;0;0;0;3;5;4.5;5.0;4.0;false;CtReturnImpl;CtReturnImpl
dc4d5227-2c3d-11e5-a4d0-ed42bedbb289;adrStmt;delete;org.apache.commons.lang3.BooleanUtils:985;-2;0;0;0;0;0;6;2;1.5;2.0;1.0;false;CtReturnImpl;NA
ff371d2c-2e3e-11e5-96f5-178ff89b8807;adrStmt;replace;org.apache.commons.lang3.time.DateUtils:201;-1;0;0;0;0;0;1;1;1.0;1.0;1.0;false;CtIfImpl;CtInvocationImpl
6a0f857f-2e33-11e5-a60c-0ddfb3d57570;adrStmt;replace;org.apache.commons.lang3.math.Fraction:888;-1;0;0;0;0;0;1;1;1.0;1.0;1.0;false;CtReturnImpl;CtReturnImpl
08cf7711-2e55-11e5-8638-275e5a24e50a;adrStmt;replace;org.apache.commons.lang3.builder.CompareToBuilder:279;-1;0;0;0;0;0;1;2;2.0;2.0;2.0;false;CtThrowImpl;CtThrowImpl
