uuid;type;name;position;status;diff;graphDiff;branchDiff;variableDiff;exceptionDiff;nbTest;maxDeep;meanDeep;medianDeep;minDeep;staticDiff;nodeTransplantationPoint;nodeTransplant
072c2e4a-46bc-11e5-a391-39ac3b9a70d0;adrStmt;delete;org.apache.commons.io.CopyUtils:199;-1;0;0;0;0;0;1;1;1.0;1.0;1.0;false;CtOperatorAssignmentImpl;NA
0f57fd1c-46f3-11e5-8869-3b085da755e4;adrStmt;replace;org.apache.commons.io.filefilter.NameFileFilter:70;-2;0;0;0;0;0;1;2;1.5;2.0;1.0;false;CtThrowImpl;CtThrowImpl
55c5d112-46f4-11e5-828c-1fefcb678eec;adrStmt;replace;org.apache.commons.io.comparator.CompositeFileComparator:93;-1;0;0;0;0;0;5;2;1.5;2.0;1.0;false;CtForEachImpl;CtIfImpl
1174ab4b-46bd-11e5-8948-3566828af2cb;adrStmt;replace;org.apache.commons.io.filefilter.AndFileFilter:122;-1;0;0;0;0;0;29;9;5.0;5.0;1.0;false;CtIfImpl;CtReturnImpl
2eb49204-46ec-11e5-bb72-050e978e78db;adrStmt;replace;org.apache.commons.io.IOUtils:1858;-1;0;0;0;0;0;4;2;2.0;2.0;2.0;false;CtWhileImpl;CtInvocationImpl
a97e73ee-46f0-11e5-bde0-693da065b665;adrStmt;add;org.apache.commons.io.FilenameUtils:646;-1;0;0;0;0;0;9;4;2.5;3.0;1.0;false;CtAssignmentImpl;CtAssignmentImpl
7a844257-46d3-11e5-b1a7-f97c6e35c171;adrStmt;replace;org.apache.commons.io.input.NullReader:247;-1;0;0;0;0;0;2;1;1.0;1.0;1.0;false;CtAssignmentImpl;CtUnaryOperatorImpl
e4410683-46c0-11e5-91d2-e38a43be9028;adrStmt;replace;org.apache.commons.io.monitor.FileAlterationMonitor:108;-2;0;0;0;0;0;1;1;1.0;1.0;1.0;false;CtWhileImpl;CtForEachImpl
336856be-46e1-11e5-8a2a-433df4c09656;adrStmt;replace;org.apache.commons.io.monitor.FileAlterationMonitor:163;-1;0;0;0;0;0;1;2;2.0;2.0;2.0;false;CtThrowImpl;CtThrowImpl
7813d090-46d9-11e5-a32d-6f3c84196532;adrStmt;replace;org.apache.commons.io.filefilter.MagicNumberFileFilter:210;-1;0;0;0;0;0;1;1;1.0;1.0;1.0;false;CtThrowImpl;CtThrowImpl
ab617535-46f9-11e5-ae15-8fa817bc7503;adrStmt;replace;org.apache.commons.io.FileSystemUtils:343;-1;0;0;0;0;0;5;2;2.0;2.0;2.0;false;CtIfImpl;CtIfImpl
4840cab9-46c7-11e5-af65-1d242d006ef2;adrStmt;add;org.apache.commons.io.input.XmlStreamReader:427;-2;0;0;0;0;0;0;0;0.0;0.0;0.0;false;CtLocalVariableImpl;CtLocalVariableImpl
6b334ef9-46f3-11e5-974c-e3e4417711bf;adrStmt;delete;org.apache.commons.io.output.ByteArrayOutputStream:75;-1;0;0;0;0;0;0;0;0.0;0.0;0.0;false;CtInvocationImpl;NA
6d18b230-46c3-11e5-bb9e-c355ef9c7553;adrStmt;replace;org.apache.commons.io.FileSystemUtils:381;-1;0;0;0;0;0;1;1;1.0;1.0;1.0;false;CtThrowImpl;CtThrowImpl
fe85ac4f-46bb-11e5-8f98-83d9d134c29d;adrStmt;replace;org.apache.commons.io.output.WriterOutputStream:279;-1;0;0;0;0;0;12;3;2.5;3.0;2.0;false;CtWhileImpl;CtIfImpl
35a9c408-46d3-11e5-a61a-210a21caa170;adrStmt;replace;org.apache.commons.io.output.ByteArrayOutputStream:302;-1;0;0;0;0;0;1;3;3.0;3.0;3.0;false;CtOperatorAssignmentImpl;CtUnaryOperatorImpl
672fd968-46fc-11e5-a505-719e0e589438;adrStmt;replace;org.apache.commons.io.output.ByteArrayOutputStream:121;-1;0;0;0;0;0;86;9;5.5;6.0;2.0;false;CtUnaryOperatorImpl;CtAssignmentImpl
db23a269-46c7-11e5-a03e-4b46da02af87;adrStmt;add;org.apache.commons.io.input.ReaderInputStream:232;-2;0;0;0;0;0;3;1;1.0;1.0;1.0;false;CtReturnImpl;CtReturnImpl
3ee622ad-46c1-11e5-bc7b-bbf9b971d150;adrStmt;add;org.apache.commons.io.FileUtils:2314;-1;0;0;0;0;0;1;2;2.0;2.0;2.0;false;CtInvocationImpl;CtIfImpl
432cabe9-46c9-11e5-bf88-6dde09cf3e3d;adrStmt;replace;org.apache.commons.io.FilenameUtils:665;-1;0;0;0;0;0;9;5;2.75;3.0;1.0;false;CtReturnImpl;CtReturnImpl
414bb1a6-46db-11e5-bc11-ab6fa49d2211;adrStmt;add;org.apache.commons.io.FilenameUtils:627;0;0;0;0;0;0;7;4;2.5;3.0;1.0;false;CtIfImpl;CtIfImpl
41c51768-46c7-11e5-9a15-3d6451185230;adrStmt;replace;org.apache.commons.io.output.WriterOutputStream:212;-1;0;0;0;0;0;12;2;1.5;2.0;1.0;false;CtInvocationImpl;CtInvocationImpl
b9856e47-46e6-11e5-8c1e-6d64fc5ae8ba;adrStmt;replace;org.apache.commons.io.input.Tailer:457;-2;0;0;0;0;0;0;2;2.0;2.0;2.0;false;CtForImpl;CtTryImpl
2115626e-46c1-11e5-a497-31f43ce27a5f;adrStmt;add;org.apache.commons.io.FilenameUtils:716;-2;0;0;0;0;0;17;5;3.0;3.0;1.0;false;CtReturnImpl;CtReturnImpl
c907b98b-46cb-11e5-8ee0-2b523f3dcc9e;adrStmt;replace;org.apache.commons.io.FilenameUtils:492;-2;0;0;0;0;0;1;1;1.0;1.0;1.0;false;CtLocalVariableImpl;CtLocalVariableImpl
17b937bd-46d9-11e5-ae09-4b9ec730b0ff;adrStmt;add;org.apache.commons.io.FileUtils:2622;-2;0;0;0;0;0;1;1;1.0;1.0;1.0;false;CtThrowImpl;CtThrowImpl
27980a0b-46d2-11e5-8781-7d97fc4006fc;adrStmt;replace;org.apache.commons.io.comparator.ExtensionFileComparator:107;-1;0;0;0;0;0;10;3;2.0;2.0;1.0;false;CtLocalVariableImpl;CtLocalVariableImpl
c0bbb0b5-46bc-11e5-bbfe-95d3de474475;adrStmt;replace;org.apache.commons.io.filefilter.FileFilterUtils:741;-2;0;0;0;0;0;2;1;1.0;1.0;1.0;false;CtIfImpl;CtReturnImpl
10c7fce5-46cd-11e5-a2a7-61d34ff52937;adrStmt;add;org.apache.commons.io.input.Tailer:462;0;0;0;0;0;0;0;2;2.0;2.0;2.0;false;CtInvocationImpl;CtForImpl
28fbbe74-46c0-11e5-a44f-f19f9daf3f2a;adrStmt;replace;org.apache.commons.io.IOUtils:2252;-2;0;0;0;0;0;2;2;1.5;2.0;1.0;false;CtLocalVariableImpl;CtLocalVariableImpl
6e30323e-46c2-11e5-9bdf-1f55e6b17ad2;adrStmt;replace;org.apache.commons.io.input.XmlStreamReader:462;-1;0;0;0;0;0;0;0;0.0;0.0;0.0;false;CtThrowImpl;CtThrowImpl
f625bed3-46e2-11e5-9a72-0379f207ddff;adrStmt;replace;org.apache.commons.io.input.BOMInputStream:370;-2;0;0;0;0;0;20;2;1.5;2.0;1.0;false;CtInvocationImpl;CtIfImpl
248a0c9d-46e5-11e5-82b7-e377ac42466f;adrStmt;delete;org.apache.commons.io.comparator.DirectoryFileComparator:73;-2;0;0;0;0;0;2;3;2.5;3.0;2.0;false;CtIfImpl;NA
382f400a-46ba-11e5-a893-0f122030d587;adrStmt;replace;org.apache.commons.io.IOCase:242;-2;0;0;0;0;0;16;10;5.25;5.0;1.0;false;CtReturnImpl;CtIfImpl
97272e10-46cf-11e5-a397-9359681403ff;adrStmt;replace;org.apache.commons.io.FileUtils:481;-1;0;0;0;0;0;7;6;4.0;4.0;2.0;false;CtForEachImpl;CtIfImpl
eed01d1d-46fb-11e5-a0ca-bdbec457a7da;adrStmt;add;org.apache.commons.io.input.CharSequenceReader:149;0;0;0;0;0;0;1;1;1.0;1.0;1.0;false;CtAssignmentImpl;CtOperatorAssignmentImpl
d8783511-46cb-11e5-aec3-8575a1c17480;adrStmt;replace;org.apache.commons.io.output.WriterOutputStream:279;-2;0;0;0;0;0;12;3;2.5;3.0;2.0;false;CtWhileImpl;CtIfImpl
a97e9b02-46f0-11e5-bde0-8926320e9dc8;adrStmt;replace;org.apache.commons.io.input.NullInputStream:264;-1;0;0;0;0;0;2;1;1.0;1.0;1.0;false;CtAssignmentImpl;CtAssignmentImpl
3d1483ef-46f3-11e5-b99a-f7b1b8439489;adrStmt;add;org.apache.commons.io.IOCase:148;-2;0;0;0;0;0;1;1;1.0;1.0;1.0;false;CtThrowImpl;CtThrowImpl
