"position","isCandidate","isCandidateDelete","nbTrial","nbCompile","nbSosie","nbTest","nbAssert","maxDeep","meanDeep","medianDeep","minDeep","methodNameInTests","methodClassTargetByTests","nbDiff","nbStaticDiff"
"com.google.gson.internal.bind.CollectionTypeAdapterFactory:52","false","false",1,0,0,352,584,18,9.75,10,2,0,0,0,0
"com.google.gson.internal.bind.CollectionTypeAdapterFactory:53","false","false",1,0,0,352,584,18,9.75,10,2,0,0,0,0
"com.google.gson.internal.bind.CollectionTypeAdapterFactory:56","false","false",1,0,0,352,584,18,9.75,10,2,0,0,0,0
"com.google.gson.internal.bind.CollectionTypeAdapterFactory:57","true","false",8,1,0,352,584,18,9.75,10,2,0,0,0,0
"com.google.gson.internal.bind.DateTypeAdapter:45","true","true",0,0,0,410,686,18,9.75,10,2,0,0,0,0
"com.google.gson.internal.bind.DateTypeAdapter:45","true","false",0,0,0,410,686,18,9.75,10,2,0,0,0,0
"com.google.gson.internal.bind.DateTypeAdapter:56","false","false",1,0,0,8,5,14,9.75,12,6,0,0,0,0
"com.google.gson.internal.bind.DateTypeAdapter:57","true","true",5,1,1,8,5,14,9.75,12,6,0,0,0,0
"com.google.gson.internal.bind.DateTypeAdapter:58","false","false",1,0,0,8,5,14,9.75,12,6,0,0,0,0
"com.google.gson.internal.bind.DateTypeAdapter:71","false","false",1,0,0,3,1,7,6.5,7,6,0,0,0,0
"com.google.gson.internal.bind.DateTypeAdapter:70","true","true",2,1,1,3,1,7,6.5,7,6,0,0,0,0
"com.google.gson.internal.bind.DateTypeAdapter:75","false","false",0,0,0,3,1,7,6.5,7,6,0,0,0,0
"com.google.gson.internal.bind.DateTypeAdapter:74","true","true",0,0,0,3,1,7,6.5,7,6,0,0,0,0
"com.google.gson.internal.bind.DateTypeAdapter:79","false","false",0,0,0,3,1,7,6.5,7,6,0,0,0,0
"com.google.gson.internal.bind.DateTypeAdapter:78","true","true",0,0,0,3,1,7,6.5,7,6,0,0,0,0
"com.google.gson.internal.bind.DateTypeAdapter:63","true","true",18,6,4,1,0,6,5.5,6,5,0,0,0,0
"com.google.gson.internal.bind.DateTypeAdapter:64","false","false",1,1,0,1,0,6,5.5,6,5,0,0,0,0
"com.google.gson.internal.bind.DateTypeAdapter:62","true","true",20,8,4,1,0,6,5.5,6,5,0,0,0,0
"com.google.gson.internal.bind.DateTypeAdapter:66","false","false",1,0,0,4,1,6,5.5,6,5,0,0,0,0
"com.google.gson.internal.bind.DateTypeAdapter:87","true","true",8,8,0,1,0,5,4.5,5,4,0,0,0,0
"com.google.gson.internal.bind.DateTypeAdapter:88","false","false",1,1,0,1,0,5,4.5,5,4,0,0,0,0
"com.google.gson.internal.bind.DateTypeAdapter:86","true","true",10,10,0,1,0,5,4.5,5,4,0,0,0,0
"com.google.gson.internal.bind.DateTypeAdapter:90","true","false",5,0,0,6,5,10,6.25,6,4,0,0,0,0
"com.google.gson.internal.bind.DateTypeAdapter:91","true","true",11,11,0,6,5,10,6.25,6,4,0,0,0,0
"com.google.gson.internal.bind.JsonAdapterAnnotationTypeAdapterFactory:42","false","false",1,0,0,262,433,18,9.85714285714286,10,3,0,0,0,0
"com.google.gson.internal.bind.JsonAdapterAnnotationTypeAdapterFactory:44","false","false",1,1,0,257,420,18,9.85714285714286,10,3,0,0,0,0
"com.google.gson.internal.bind.JsonAdapterAnnotationTypeAdapterFactory:43","true","true",2,2,0,257,420,18,9.85714285714286,10,3,0,0,0,0
"com.google.gson.internal.bind.JsonAdapterAnnotationTypeAdapterFactory:46","true","false",7,1,0,262,433,18,9.85714285714286,10,3,0,0,0,0
"com.google.gson.internal.bind.JsonAdapterAnnotationTypeAdapterFactory:52","false","false",1,0,0,11,26,12,9.5,10,7,0,0,0,0
"com.google.gson.internal.bind.JsonAdapterAnnotationTypeAdapterFactory:54","false","false",1,0,0,8,19,12,9.5,10,7,0,0,0,0
"com.google.gson.internal.bind.JsonAdapterAnnotationTypeAdapterFactory:55","true","false",3,2,0,8,19,12,9.5,10,7,0,0,0,0
"com.google.gson.internal.bind.JsonAdapterAnnotationTypeAdapterFactory:53","true","true",5,3,0,8,19,12,9.5,10,7,0,0,0,0
"com.google.gson.internal.bind.JsonAdapterAnnotationTypeAdapterFactory:58","false","false",1,0,0,3,7,10,8.5,10,7,0,0,0,0
"com.google.gson.internal.bind.JsonAdapterAnnotationTypeAdapterFactory:59","true","false",7,3,0,3,7,10,8.5,10,7,0,0,0,0
"com.google.gson.internal.bind.JsonAdapterAnnotationTypeAdapterFactory:57","true","true",9,4,0,3,7,10,8.5,10,7,0,0,0,0
"com.google.gson.internal.bind.JsonAdapterAnnotationTypeAdapterFactory:64","true","true",0,0,0,11,26,12,9.5,10,7,0,0,0,0
