"position","isCandidate","isCandidateDelete","nbTrial","nbCompile","nbSosie","nbTest","nbAssert","maxDeep","meanDeep","medianDeep","minDeep","methodNameInTests","methodClassTargetByTests","nbDiff","nbStaticDiff"
"org.apache.commons.lang3.mutable.MutableDouble:168","true","true",1,1,0,1,1,1,1,1,1,1,1,0,0
"org.apache.commons.lang3.mutable.MutableDouble:146","true","true",3,3,1,1,2,1,1,1,1,1,1,0,0
"org.apache.commons.lang3.mutable.MutableDouble:137","true","true",1,1,0,1,2,1,1,1,1,1,1,0,0
"org.apache.commons.lang3.mutable.MutableDouble:97","true","true",1,1,0,1,8,1,1,1,1,0,1,0,0
"org.apache.commons.lang3.mutable.MutableDouble:108","true","true",4,1,0,2,8,1,1,1,1,0,1,0,0
"org.apache.commons.lang3.mutable.MutableDouble:178","true","true",2,2,0,1,1,1,1,1,1,1,1,0,0
"org.apache.commons.lang3.mutable.MutableDouble:189","true","true",0,0,0,1,1,1,1,1,1,1,1,0,0
"org.apache.commons.lang3.mutable.MutableFloat:278","true","false",0,0,0,1,10,1,1,1,1,1,1,0,0
"org.apache.commons.lang3.mutable.MutableFloat:127","true","false",4,3,0,1,3,1,1,1,1,0,1,0,0
"org.apache.commons.lang3.mutable.MutableFloat:118","true","false",2,1,1,1,3,1,1,1,1,0,1,0,1
"org.apache.commons.lang3.mutable.MutableFloat:231","true","false",0,0,0,1,6,1,1,1,1,0,1,0,0
"org.apache.commons.lang3.mutable.MutableFloat:221","true","false",3,2,2,7,19,2,1.5,2,1,0,1,0,1
"org.apache.commons.lang3.mutable.MutableFloat:301","true","false",2,0,0,2,3,1,1,1,1,1,1,0,0
"org.apache.commons.lang3.mutable.MutableFloat:302","true","false",3,3,0,2,3,1,1,1,1,1,1,0,0
"org.apache.commons.lang3.mutable.MutableFloat:289","true","false",1,1,0,1,4,1,1,1,1,1,1,0,0
"org.apache.commons.lang3.mutable.MutableFloat:201","true","false",0,0,0,3,10,1,1,1,1,0,1,0,0
"org.apache.commons.lang3.mutable.MutableFloat:88","false","false",0,0,0,1,8,1,1,1,1,0,1,0,0
"org.apache.commons.lang3.mutable.MutableFloat:241","false","false",1,0,0,1,2,1,1,1,1,1,1,0,0
"org.apache.commons.lang3.mutable.MutableFloat:313","true","false",3,1,0,1,3,1,1,1,1,1,1,0,0
"org.apache.commons.lang3.mutable.MutableFloat:211","false","false",1,0,0,3,10,1,1,1,1,0,1,0,0
"org.apache.commons.lang3.mutable.MutableFloat:157","true","true",0,0,0,1,1,1,1,1,1,1,1,0,0
"org.apache.commons.lang3.mutable.MutableFloat:168","true","true",4,4,0,1,1,1,1,1,1,1,1,0,0
"org.apache.commons.lang3.mutable.MutableFloat:146","true","true",2,2,1,1,2,1,1,1,1,1,1,0,1
"org.apache.commons.lang3.mutable.MutableFloat:137","true","true",0,0,0,1,2,1,1,1,1,1,1,0,0
"org.apache.commons.lang3.mutable.MutableFloat:97","true","true",2,1,1,1,8,1,1,1,1,0,1,0,0
"org.apache.commons.lang3.mutable.MutableFloat:108","true","true",1,1,0,2,8,1,1,1,1,0,1,0,0
"org.apache.commons.lang3.mutable.MutableFloat:178","true","true",0,0,0,1,1,1,1,1,1,1,1,0,0
"org.apache.commons.lang3.mutable.MutableFloat:189","true","true",2,2,0,1,1,1,1,1,1,1,1,0,0
"org.apache.commons.lang3.mutable.MutableInt:237","true","false",1,1,0,1,10,1,1,1,1,1,1,0,0
"org.apache.commons.lang3.mutable.MutableInt:236","true","true",2,2,0,1,10,1,1,1,1,1,1,0,0
"org.apache.commons.lang3.mutable.MutableInt:239","true","false",1,1,0,1,10,1,1,1,1,1,1,0,0
"org.apache.commons.lang3.mutable.MutableInt:212","true","false",3,2,1,1,5,1,1,1,1,0,1,0,0
"org.apache.commons.lang3.mutable.MutableInt:202","true","false",2,1,1,1,5,1,1,1,1,0,1,0,0
"org.apache.commons.lang3.mutable.MutableInt:261","true","false",1,1,0,2,3,1,1,1,1,1,1,0,0
"org.apache.commons.lang3.mutable.MutableInt:262","true","false",3,3,0,2,3,1,1,1,1,1,1,0,0
"org.apache.commons.lang3.mutable.MutableInt:249","true","false",2,1,0,1,4,1,1,1,1,1,1,0,0
"org.apache.commons.lang3.mutable.MutableInt:182","true","false",0,0,0,21,264,2,1.5,2,1,0,0.523809523809524,0,0
"org.apache.commons.lang3.mutable.MutableInt:88","true","false",0,0,0,1,8,1,1,1,1,0,1,0,0
"org.apache.commons.lang3.mutable.MutableInt:222","false","false",0,0,0,1,2,1,1,1,1,1,1,0,0
"org.apache.commons.lang3.mutable.MutableInt:273","true","false",2,1,0,1,3,1,1,1,1,1,1,0,0
"org.apache.commons.lang3.mutable.MutableInt:192","true","false",0,0,0,7,17,1,1,1,1,0,1,0,0
"org.apache.commons.lang3.mutable.MutableInt:138","true","true",2,2,0,1,2,1,1,1,1,1,1,0,0
"org.apache.commons.lang3.mutable.MutableInt:149","true","true",1,1,0,1,2,1,1,1,1,1,1,0,0
"org.apache.commons.lang3.mutable.MutableInt:127","true","true",1,1,0,1,2,1,1,1,1,1,1,0,0
"org.apache.commons.lang3.mutable.MutableInt:118","true","true",0,0,0,11,224,2,1.5,2,1,0.0909090909090909,0.0909090909090909,0,0
"org.apache.commons.lang3.mutable.MutableInt:97","true","true",2,1,0,1,8,1,1,1,1,0,1,0,0
"org.apache.commons.lang3.mutable.MutableInt:108","true","true",1,0,0,2,8,1,1,1,1,0,1,0,0
"org.apache.commons.lang3.mutable.MutableInt:159","true","true",1,1,0,1,2,1,1,1,1,1,1,0,0
"org.apache.commons.lang3.mutable.MutableInt:170","true","true",3,3,0,1,2,1,1,1,1,1,1,0,0
"org.apache.commons.lang3.mutable.MutableLong:237","true","false",3,1,0,1,10,1,1,1,1,1,1,0,0
"org.apache.commons.lang3.mutable.MutableLong:236","true","true",3,1,0,1,10,1,1,1,1,1,1,0,0
"org.apache.commons.lang3.mutable.MutableLong:239","true","false",1,1,0,1,10,1,1,1,1,1,1,0,0
"org.apache.commons.lang3.mutable.MutableLong:212","true","false",2,1,1,1,6,1,1,1,1,0,1,0,0
"org.apache.commons.lang3.mutable.MutableLong:202","false","false",1,0,0,1,6,1,1,1,1,0,1,0,0
"org.apache.commons.lang3.mutable.MutableLong:261","true","false",1,0,0,2,3,1,1,1,1,1,1,0,0
"org.apache.commons.lang3.mutable.MutableLong:262","true","false",0,0,0,2,3,1,1,1,1,1,1,0,0
"org.apache.commons.lang3.mutable.MutableLong:249","true","false",1,0,0,1,4,1,1,1,1,1,1,0,0
"org.apache.commons.lang3.mutable.MutableLong:182","true","false",2,1,0,9,31,2,1.5,2,1,0,0.777777777777778,0,0
"org.apache.commons.lang3.mutable.MutableLong:88","false","false",0,0,0,1,8,1,1,1,1,0,1,0,0
"org.apache.commons.lang3.mutable.MutableLong:222","false","false",0,0,0,1,2,1,1,1,1,1,1,0,0
"org.apache.commons.lang3.mutable.MutableLong:273","true","false",1,0,0,1,3,1,1,1,1,1,1,0,0
"org.apache.commons.lang3.mutable.MutableLong:192","true","false",2,0,0,11,43,2,1.5,2,1,0,1,0,0
"org.apache.commons.lang3.mutable.MutableLong:149","true","true",1,1,0,1,2,1,1,1,1,1,1,0,0
"org.apache.commons.lang3.mutable.MutableLong:138","true","true",2,1,0,1,2,1,1,1,1,1,1,0,0
"org.apache.commons.lang3.mutable.MutableLong:127","true","true",2,2,0,1,2,1,1,1,1,1,1,0,0
"org.apache.commons.lang3.mutable.MutableLong:118","true","true",3,3,0,1,2,1,1,1,1,1,1,0,0
"org.apache.commons.lang3.mutable.MutableLong:108","true","true",1,0,0,2,8,1,1,1,1,0,1,0,0
"org.apache.commons.lang3.mutable.MutableLong:97","true","true",1,1,0,1,8,1,1,1,1,0,1,0,0
"org.apache.commons.lang3.mutable.MutableLong:170","true","true",1,1,0,1,2,1,1,1,1,1,1,0,0
"org.apache.commons.lang3.mutable.MutableLong:159","true","true",0,0,0,1,2,1,1,1,1,1,1,0,0
"org.apache.commons.lang3.mutable.MutableObject:66","false","false",0,0,0,8,30,4,2.5,3,1,0,0.25,0,0
"org.apache.commons.lang3.mutable.MutableObject:95","true","false",0,0,0,1,12,1,1,1,1,1,1,0,0
"org.apache.commons.lang3.mutable.MutableObject:94","true","true",3,2,0,1,12,1,1,1,1,1,1,0,0
"org.apache.commons.lang3.mutable.MutableObject:98","true","false",2,2,0,1,12,1,1,1,1,1,1,0,0
"org.apache.commons.lang3.mutable.MutableObject:97","true","true",4,4,0,1,12,1,1,1,1,1,1,0,0
"org.apache.commons.lang3.mutable.MutableObject:101","false","false",0,0,0,1,12,1,1,1,1,1,1,0,0
"org.apache.commons.lang3.mutable.MutableObject:102","true","false",1,1,0,1,12,1,1,1,1,1,1,0,0
"org.apache.commons.lang3.mutable.MutableObject:100","true","true",2,2,0,1,12,1,1,1,1,1,1,0,0
"org.apache.commons.lang3.mutable.MutableObject:104","true","false",0,0,0,1,12,1,1,1,1,1,1,0,0
"org.apache.commons.lang3.mutable.MutableObject:114","true","true",2,1,0,1,6,1,1,1,1,1,1,0,0
"org.apache.commons.lang3.mutable.MutableObject:114","true","false",2,1,0,1,6,1,1,1,1,1,1,0,0
"org.apache.commons.lang3.mutable.MutableObject:125","true","true",1,1,0,14,3,3,2,3,1,0.0714285714285714,0.0714285714285714,0,0
"org.apache.commons.lang3.mutable.MutableObject:125","true","false",1,1,0,14,3,3,2,3,1,0.0714285714285714,0.0714285714285714,0,0
"org.apache.commons.lang3.mutable.MutableObject:76","true","true",1,0,0,5,24,4,2.5,3,1,0,0.2,0,0
"org.apache.commons.lang3.mutable.MutableShort:247","true","false",1,1,0,1,10,1,1,1,1,1,1,0,0
"org.apache.commons.lang3.mutable.MutableShort:246","true","true",4,3,0,1,10,1,1,1,1,1,1,0,0
"org.apache.commons.lang3.mutable.MutableShort:249","true","false",3,2,0,1,10,1,1,1,1,1,1,0,0
"org.apache.commons.lang3.mutable.MutableShort:222","true","false",1,1,0,1,6,1,1,1,1,0,1,0,0
"org.apache.commons.lang3.mutable.MutableShort:212","false","false",0,0,0,1,6,1,1,1,1,0,1,0,0
"org.apache.commons.lang3.mutable.MutableShort:271","true","false",2,1,0,1,4,1,1,1,1,1,1,0,0
"org.apache.commons.lang3.mutable.MutableShort:272","true","false",1,0,0,1,4,1,1,1,1,1,1,0,0
"org.apache.commons.lang3.mutable.MutableShort:259","true","false",3,3,0,1,4,1,1,1,1,1,1,0,0
"org.apache.commons.lang3.mutable.MutableShort:192","true","false",2,1,0,3,10,1,1,1,1,0,1,0,0
"org.apache.commons.lang3.mutable.MutableShort:88","false","false",0,0,0,1,9,1,1,1,1,0,1,0,0
"org.apache.commons.lang3.mutable.MutableShort:232","false","false",1,0,0,1,2,1,1,1,1,1,1,0,0
"org.apache.commons.lang3.mutable.MutableShort:283","true","false",0,0,0,1,3,1,1,1,1,1,1,0,0
"org.apache.commons.lang3.mutable.MutableShort:202","false","false",0,0,0,3,10,1,1,1,1,0,1,0,0
"org.apache.commons.lang3.mutable.MutableShort:182","false","false",0,0,0,9,37,2,1.5,2,1,0,1,0,0
"org.apache.commons.lang3.mutable.MutableShort:149","true","true",0,0,0,1,1,1,1,1,1,1,1,0,0
"org.apache.commons.lang3.mutable.MutableShort:138","true","true",1,1,0,1,1,1,1,1,1,1,1,0,0
"org.apache.commons.lang3.mutable.MutableShort:127","true","true",0,0,0,1,2,1,1,1,1,1,1,0,0
"org.apache.commons.lang3.mutable.MutableShort:118","true","true",2,2,0,1,2,1,1,1,1,1,1,0,0
"org.apache.commons.lang3.mutable.MutableShort:108","true","true",1,0,0,1,9,1,1,1,1,0,1,0,0
"org.apache.commons.lang3.mutable.MutableShort:97","true","true",1,1,0,1,9,1,1,1,1,0,1,0,0
"org.apache.commons.lang3.mutable.MutableShort:170","true","true",2,2,0,1,1,1,1,1,1,1,1,0,0
"org.apache.commons.lang3.mutable.MutableShort:159","true","true",3,2,0,1,1,1,1,1,1,1,1,0,0
"org.apache.commons.lang3.math.Fraction:846","true","false",0,0,0,2,46,1,1,1,1,0.5,1,0,0
"org.apache.commons.lang3.math.Fraction:845","true","true",1,1,0,2,46,1,1,1,1,0.5,1,0,0
"org.apache.commons.lang3.math.Fraction:849","true","false",0,0,0,1,8,1,1,1,1,1,1,0,0
"org.apache.commons.lang3.math.Fraction:848","true","true",2,2,0,1,8,1,1,1,1,1,1,0,0
"org.apache.commons.lang3.math.Fraction:851","true","false",0,0,0,3,66,2,1.5,2,1,0.333333333333333,1,0,0
"org.apache.commons.lang3.math.Fraction:852","true","false",4,2,0,3,66,2,1.5,2,1,0.333333333333333,1,0,0
"org.apache.commons.lang3.math.Fraction:454","true","false",1,1,0,1,4,1,1,1,1,0,1,0,0
"org.apache.commons.lang3.math.Fraction:443","false","false",0,0,0,1,4,1,1,1,1,0,1,0,0
"org.apache.commons.lang3.math.Fraction:676","true","false",1,0,0,1,30,3,3,3,3,0,1,0,0
"org.apache.commons.lang3.math.Fraction:679","true","true",1,1,0,1,30,3,3,3,3,0,1,0,0
"org.apache.commons.lang3.math.Fraction:677","true","true",2,1,0,1,30,3,3,3,3,0,1,0,0
"org.apache.commons.lang3.math.Fraction:681","true","false",3,3,0,1,30,3,3,3,3,0,1,0,0
"org.apache.commons.lang3.math.Fraction:885","true","false",3,3,0,2,50,1,1,1,1,0.5,1,0,0
"org.apache.commons.lang3.math.Fraction:884","true","true",4,4,1,2,50,1,1,1,1,0.5,1,0,0
"org.apache.commons.lang3.math.Fraction:888","true","false",3,3,1,1,12,1,1,1,1,1,1,0,0
"org.apache.commons.lang3.math.Fraction:887","true","true",4,4,2,1,12,1,1,1,1,1,1,0,0
