uuid;type;name;position;status;diff;graphDiff;branchDiff;variableDiff;exceptionDiff;nbTest;maxDeep;meanDeep;medianDeep;minDeep;staticDiff;nodeTransplantationPoint;nodeTransplant
f28090ec-42f9-11e5-abf5-e7541158465b;adrStmt;add;org.apache.commons.codec.binary.Base32:356;-2;0;0;0;0;0;10;41;18.64516129032258;17.0;2.0;false;CtAssignmentImpl;CtOperatorAssignmentImpl
980ad4eb-447f-11e5-a11f-bfc4ac96c808;adrStmt;add;org.apache.commons.codec.language.MatchRatingApproachEncoder:217;-2;0;0;0;0;0;5;1;1.0;1.0;1.0;false;CtReturnImpl;CtReturnImpl
649354c8-43ca-11e5-838a-7184f905169a;adrStmt;replace;org.apache.commons.codec.language.DoubleMetaphone:679;1;0;0;0;0;0;4;3;2.5;3.0;2.0;false;CtOperatorAssignmentImpl;CtOperatorAssignmentImpl
104f98ed-42af-11e5-a87a-f570458811d0;adrStmt;delete;org.apache.commons.codec.binary.Base64:373;-1;0;0;0;0;0;12;22;12.0;12.0;2.0;false;CtIfImpl;NA
140a2bdb-43c4-11e5-87ab-05fcc6ebd8f7;adrStmt;add;org.apache.commons.codec.binary.BinaryCodec:172;-2;0;0;0;0;0;1;1;1.0;1.0;1.0;false;CtIfImpl;CtIfImpl
c2be0142-4343-11e5-b26c-a9c00aaab3d3;adrStmt;replace;org.apache.commons.codec.language.MatchRatingApproachEncoder:190;-1;0;0;0;0;0;18;2;1.5;2.0;1.0;false;CtAssignmentImpl;CtOperatorAssignmentImpl
38e9dcaf-4316-11e5-9e30-7d9f61aba4fc;adrStmt;replace;org.apache.commons.codec.language.MatchRatingApproachEncoder:136;-1;0;0;0;0;0;10;2;1.5;2.0;1.0;false;CtAssignmentImpl;CtAssignmentImpl
61472630-42d8-11e5-9fef-2ffa3ad51756;adrStmt;replace;org.apache.commons.codec.language.DoubleMetaphone:397;-1;0;0;0;0;0;4;3;2.5;3.0;2.0;false;CtOperatorAssignmentImpl;CtAssignmentImpl
3577a022-43d7-11e5-9305-69e251f651c9;adrStmt;replace;org.apache.commons.codec.net.QCodec:71;-2;0;0;0;0;0;0;0;0.0;0.0;0.0;false;CtInvocationImpl;CtInvocationImpl
5b8c75df-42af-11e5-b49a-d13ad87561cd;adrStmt;replace;org.apache.commons.codec.binary.Base64:462;-1;0;0;0;0;0;38;23;12.047619047619047;12.0;2.0;false;CtLocalVariableImpl;CtLocalVariableImpl
e70bcc3d-42b2-11e5-9e52-45c3c869cc19;adrStmt;replace;org.apache.commons.codec.digest.UnixCrypt:389;-1;0;0;0;0;0;4;5;4.0;4.0;3.0;false;CtReturnImpl;CtReturnImpl
032eff40-4442-11e5-a1fe-f1f590547c3f;adrStmt;add;org.apache.commons.codec.digest.UnixCrypt:377;-1;0;0;0;0;0;4;4;3.0;3.0;2.0;false;CtAssignmentImpl;CtOperatorAssignmentImpl
8b2851c7-4378-11e5-8f40-cfe4f07b6fa8;adrStmt;add;org.apache.commons.codec.language.DoubleMetaphone:788;-2;0;0;0;0;0;5;5;4.0;4.0;3.0;false;CtIfImpl;CtIfImpl
8a681607-42e1-11e5-aa6c-4defc576f5f0;adrStmt;delete;org.apache.commons.codec.language.DaitchMokotoffSoundex:468;-1;0;0;0;0;0;5;1;1.0;1.0;1.0;false;CtIfImpl;NA
faecd04f-42ac-11e5-be9b-798dc3d6febd;adrStmt;replace;org.apache.commons.codec.language.MatchRatingApproachEncoder:336;-1;0;0;0;0;0;38;2;1.5;2.0;1.0;false;CtIfImpl;CtReturnImpl
79334ed8-436d-11e5-aa4e-6f55ddcee093;adrStmt;add;org.apache.commons.codec.binary.Base64:721;-2;0;0;0;0;0;4;1;1.0;1.0;1.0;false;CtInvocationImpl;CtAssignmentImpl
